Player,Pos,PassesCmp,PassesCmp%,Att,Succ%,Sh,G/Sh,SoT%,SCA90,Desarmes_per90,Bloqueios_per90,Intercessoes_per90,BolaAerea_per90,ConduçaoPrgc_per90
Diogo Costa,GK,430.0,79.9,0.0,,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.3076923076923077,0.0
Victor Froholdt,MF,270.0,82.3,34.0,47.1,12.0,0.17,16.7,2.45,0.79155672823219,1.266490765171504,0.8707124010554089,1.029023746701847,2.216358839050132
Jan Bednarek,DF,917.0,94.1,1.0,0.0,5.0,0.0,40.0,0.51,0.3412322274881517,1.1943127962085307,1.2796208530805686,3.5829383886255926,0.7677725118483412
Alan Varela,MF,448.0,85.2,8.0,75.0,7.0,0.0,42.9,2.07,0.18018018018018017,0.7207207207207207,0.9009009009009009,0.7207207207207207,0.6306306306306306
Samu Omorodion,FW,86.0,71.1,24.0,50.0,33.0,0.15,57.6,2.11,0.11703511053315994,0.2340702210663199,0.2340702210663199,1.4044213263979195,1.6384915474642392
Alberto Costa,DF,326.0,78.7,20.0,40.0,8.0,0.0,12.5,1.92,1.0688836104513064,1.817102137767221,0.8551068883610452,0.5344418052256532,1.496437054631829
Borja Sainz,FW,190.0,75.4,36.0,41.7,30.0,0.1,36.7,3.1,0.6413301662707839,2.030878859857482,0.4275534441805226,0.2137767220902613,2.8859857482185274
Pepê,FW,198.0,65.6,31.0,38.7,10.0,0.2,30.0,4.24,0.5890052356020943,1.2958115183246073,0.5890052356020943,1.2958115183246073,2.356020942408377
Moura,DF,384.0,82.8,8.0,75.0,7.0,0.14,28.6,2.14,0.8311345646437995,1.662269129287599,1.424802110817942,1.0686015831134563,1.662269129287599
Jakub Kiwior,DF,706.0,89.4,3.0,66.7,5.0,0.0,40.0,1.33,1.8888888888888888,1.2222222222222223,1.0,1.2222222222222223,1.4444444444444446
Gabriel Veiga,MF,181.0,69.6,10.0,50.0,15.0,0.07,40.0,3.94,1.733800350262697,0.6304728546409808,0.47285464098073554,0.3152364273204904,1.2609457092819616
William Gomes,FW,78.0,54.2,28.0,35.7,20.0,0.2,45.0,2.99,1.1645101663585953,1.8299445471349354,0.33271719038817005,0.16635859519408502,3.9926062846580406
Rodrigo Mora,"MF,FW",126.0,74.1,21.0,38.1,12.0,0.08,16.7,4.13,1.1790393013100435,1.3755458515283843,0.1965065502183406,0.3930131004366812,1.965065502183406
Nehuén Pérez,DF,304.0,94.4,1.0,0.0,2.0,0.5,50.0,0.74,0.989010989010989,0.989010989010989,1.4835164835164836,2.4725274725274726,0.24725274725274726
Pablo Rosario,"MF,DF",209.0,83.3,2.0,50.0,1.0,1.0,100.0,1.58,1.5789473684210527,1.381578947368421,0.19736842105263158,1.381578947368421,0.7894736842105263
Zaidu Sanusi,DF,166.0,87.4,6.0,33.3,3.0,0.33,33.3,2.31,0.7692307692307693,0.7692307692307693,0.5128205128205129,0.7692307692307693,3.58974358974359
Luuk de Jong,FW,44.0,71.0,1.0,100.0,6.0,0.17,50.0,3.47,0.694980694980695,1.7374517374517373,0.694980694980695,3.1274131274131274,0.3474903474903475
Martim Fernandes,DF,96.0,87.3,2.0,50.0,1.0,0.0,0.0,1.95,0.972972972972973,0.4864864864864865,0.4864864864864865,0.972972972972973,1.4594594594594597
Deniz Gül,FW,27.0,60.0,3.0,0.0,5.0,0.4,60.0,4.21,0.5263157894736842,1.5789473684210527,0.5263157894736842,4.7368421052631575,1.5789473684210527
Stephen Eustáquio,MF,83.0,84.7,5.0,20.0,2.0,0.0,50.0,1.64,1.6363636363636362,1.6363636363636362,0.0,2.1818181818181817,1.6363636363636362
Dominik Prpić,DF,48.0,72.7,0.0,0.0,0.0,0.0,0.0,0.0,0.9574468085106382,0.9574468085106382,3.829787234042553,1.9148936170212765,0.0
Zé Pedro Figueiredo,DF,17.0,73.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Ángel Alarcón,FW,12.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.428571428571428,0.0,0.0,6.428571428571428
Yann Karamoh,FW,3.0,42.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25
,,,,,,,,,0.0,,,,,
