Squad;Pl;Saves;SavePct;Blocks;Interceptions;Tackles;TacklePct;AerialsWonPct;PassesCompleted;Fouls;Recoveries;YellowCards;RedCards
Alverca;26;135;66;115;102;202;57,1;56,1;73;165;493;32;2
Arouca;24;107;56,1;123;85;166;47,7;45,4;81;174;405;33;4
AVS Futebol;29;105;55,4;110;95;172;48,4;51,2;75;188;495;23;1
Benfica;26;104;82,1;105;90;181;49,8;54,8;81;146;484;32;1
Braga;25;86;69,7;107;93;155;49,4;50,4;83;127;484;23;0
Casa Pia;27;121;62,7;130;84;188;53,5;51;89;176;456;39;1
Estoril;24;113;68,9;97;92;176;49,2;49,9;71;153;487;38;0
Estrela;28;118;68;113;87;180;60;51,3;71;169;491;30;2
Famalicão;22;135;87,2;101;83;214;56,9;47,9;69;232;495;41;1
Gil Vicente FC;25;126;90,9;116;88;191;53,4;45,1;92;185;477;34;3
Moreirense;25;110;83,3;118;90;180;56,2;45;74;179;445;36;2
Nacional;24;110;73,1;170;127;189;53,2;49,9;112;177;495;38;4
Porto;24;103;84,2;151;103;157;50;56,7;105;166;524;32;1
Rio Ave;26;106;72,7;139;109;178;46,9;52,2;84;173;457;33;2
Santa Clara;22;114;69,6;118;102;186;52,6;51,4;102;160;448;37;3
Sporting CP;23;128;82,8;106;69;198;56,2;52,7;80;142;584;24;1
Tondela;25;137;74,2;156;117;222;46;44,5;104;180;501;33;2
Vitória;28;102;73,3;123;96;168;55,2;47,4;85;166;448;25;1
